"ID_tramite","ID_tipo_tramite","tramite_fecha","ID_registro","ID_provincia","ID_origen","automotor_anio_modelo","ID_tipo_automotor","ID_marca","ID_modelo","ID_automotor_uso","ID_tipo_persona","ID_localidad_titular","ID_provincia_titular","ID_genero","titular_anio_nacimiento","ID_titular_pais","titular_porcentaje_titularidad"
"54078","2","2/27/2023","799","21","2","2023","8","122","737","1","2","707","21","0","2021","0","100"
"54079","2","2/9/2023","800","21","2","2023","8","122","737","1","1","762","21","2","1956","2","50"
"54080","2","2/8/2023","795","21","2","2023","8","122","739","1","1","2598","21","2","1956","2","50"
"54081","2","2/24/2023","823","24","2","2023","8","122","739","1","1","72","24","2","1958","2","100"
"54082","2","2/13/2023","803","21","2","2023","8","122","736","1","1","2834","21","2","1975","2","100"
"54083","2","2/22/2023","819","22","2","2023","8","112","892","1","1","2857","22","2","1977","2","100"
"54084","2","2/22/2023","824","24","2","2023","8","94","1173","1","1","2943","24","2","1989","2","100"
"54085","2","2/14/2023","820","22","2","2023","8","122","739","1","1","2117","22","2","1967","2","100"
"54086","2","2/27/2023","804","21","2","2023","8","122","737","1","1","2531","21","2","1969","2","100"
"54087","2","2/28/2023","820","22","2","2023","8","122","737","1","2","2857","22","0","1996","0","100"
"54088","2","2/27/2023","819","22","2","2023","8","122","742","1","2","2857","22","0","2020","0","100"
"54089","2","2/23/2023","808","21","2","2023","8","25","345","1","1","2864","21","2","1971","2","100"
"54090","2","2/28/2023","804","21","2","2023","8","122","739","1","1","2531","21","2","1969","2","100"
"54091","2","2/15/2023","796","21","2","2023","8","122","739","1","1","2598","21","2","1970","2","100"
"54092","2","2/14/2023","821","22","2","2023","8","122","737","1","1","2234","22","1","1964","2","100"
"54093","2","2/14/2023","819","22","2","2023","8","122","739","1","1","2857","22","2","1977","2","100"
"54094","2","2/27/2023","801","21","2","2023","8","122","737","1","1","2739","21","2","1966","2","100"
"54095","2","2/14/2023","819","22","2","2023","8","122","739","1","1","2857","22","2","1984","41","100"
"54096","2","2/17/2023","824","24","2","2023","8","122","742","1","1","2784","24","2","1995","2","100"
"54097","2","2/27/2023","808","21","2","2023","8","112","892","1","1","2864","21","2","1981","2","100"
"54098","2","2/27/2023","819","22","2","2023","8","122","739","1","1","2857","22","2","1952","2","100"
"54099","2","2/24/2023","808","21","2","2023","8","25","342","1","1","2864","21","2","1984","2","100"
"54100","2","2/14/2023","803","21","2","2023","8","112","892","1","1","2834","21","1","1979","2","100"
"54101","2","2/10/2023","820","22","2","2023","8","25","345","1","2","2857","22","0","2020","0","100"
"54102","2","2/24/2023","809","21","2","2023","8","122","739","1","1","1327","21","2","1962","2","100"
"54103","2","2/13/2023","792","21","2","2023","8","122","739","1","1","2834","21","2","1969","2","100"
"54104","2","2/13/2023","808","21","2","2023","8","122","739","1","1","2864","21","2","1969","2","100"
"54105","2","2/15/2023","822","22","2","2023","8","122","737","1","1","555","22","2","1991","2","100"
"54106","2","2/13/2023","797","21","2","2023","8","122","737","1","1","748","21","2","1960","2","100"
"54107","2","2/1/2023","826","24","2","2023","8","122","736","1","2","2612","24","0","2008","0","100"
"54108","2","2/14/2023","819","22","2","2023","8","122","739","1","1","2857","22","2","1980","2","100"
"54109","2","2/7/2023","806","21","2","2023","8","122","737","1","2","2509","21","0","2005","0","100"
